SummitCode,RegionName,SummitName,AltM,AltFt,Latitude,Longitude,Points,BonusPoints,ActivationCount,ParcelOwner1,Region1,ParcelOwner2,Region2,ParcelOwner3,Region3,ManualAccess,ComputedAccess,RFNearby,Notes 1,ValidFrom,ValidTo,CurrentlyActive,FAYear,FAMonth,FADay,FADate,FACalls
W7W/CH-029,WA-Chelan,Courtney Peak,2558,8392,48.2607,-120.4434,10,3,1,,,,,,,,,,,1. Dec. 2010,31. Dec. 2099,TRUE,2021,9,26,2021-09-26,KJ7RTO
W7W/CH-030,WA-Chelan,Devore Peak,2554,8380,48.2765,-120.7649,10,3,0,USFS,Wenatchee NF,,,,,Open,Open,,,1. Dec. 2010,31. Dec. 2099,TRUE,1899,12,30,,
W7W/CH-031,WA-Chelan,Martin Peak,2553,8375,48.1885,-120.3509,10,3,1,,,,,,,,,,,1. Dec. 2010,31. Dec. 2099,TRUE,2022,8,27,2022-08-27,KJ7RTO
W7W/CH-032,WA-Chelan,McClellan Peak,2549,8364,47.4702,-120.7858,10,3,0,USFS,Wenatchee NF,,,,,Open,Open,,,1. Dec. 2010,31. Dec. 2099,TRUE,1899,12,30,,
W7W/CH-033,WA-Chelan,Tupshin Peak,2542,8340,48.297,-120.7507,10,3,0,USFS,Wenatchee NF,,,,,Open,Open,,,1. Dec. 2010,31. Dec. 2099,TRUE,1899,12,30,,
W7W/CH-034,WA-Chelan,Flora Mountain,2536,8320,48.2432,-120.6956,10,3,0,USFS,Wenatchee NF,,,,,Open,Open,,,1. Dec. 2010,31. Dec. 2099,TRUE,1899,12,30,,
W7W/CH-035,WA-Chelan,Booker Mountain,2530,8300,48.475,-120.9766,10,3,0,NPS,North Cascades NP,,,,,Open,Open,,,1. Dec. 2010,31. Dec. 2099,TRUE,1899,12,30,,
W7W/CH-036,WA-Chelan,Spider Mountain,2530,8300,48.4101,-121.0376,10,3,0,USFS,Wenatchee NF,,,,,Open,Open,,,1. Dec. 2010,31. Dec. 2099,TRUE,1899,12,30,,
W7W/CH-037,WA-Chelan,The Temple,2527,8292,47.4904,-120.7696,10,3,0,USFS,Wenatchee NF,,,,,Open,Open,,,1. Dec. 2010,31. Dec. 2099,TRUE,1899,12,30,,
W7W/CH-038,WA-Chelan,Wy East Mountain,2530,8300,48.2551,-120.7686,10,3,0,USFS,Wenatchee NF,,,,,Open,Open,,,1. Dec. 2010,31. Dec. 2099,TRUE,1899,12,30,,
W7W/CH-039,WA-Chelan,Cheops,2521,8270,48.1967,-120.3489,10,3,0,USFS,Wenatchee NF,USFS,Okanogan NF,,,Open,Open,,,1. Dec. 2010,31. Dec. 2099,TRUE,1899,12,30,,
W7W/CH-040,WA-Chelan,Pyramid Mountain,2512,8243,48.0796,-120.5679,10,3,3,,,,,,,,,,,1. Dec. 2010,31. Dec. 2099,TRUE,2016,7,25,2016-07-25,"K7MAS,KG7EJT"
W7W/CH-041,WA-Chelan,West Riddle Peaks,2505,8220,48.2277,-120.7385,10,3,0,USFS,Wenatchee NF,,,,,Open,Open,,,1. Dec. 2010,31. Dec. 2099,TRUE,1899,12,30,,
W7W/CH-042,WA-Chelan,Gunsight Peak,2499,8198,48.3067,-120.9943,8,3,0,USFS,Wenatchee NF,,,,,Open,Open,,,1. Dec. 2010,31. Dec. 2099,TRUE,1899,12,30,,
W7W/CH-043,WA-Chelan,Castle Rock,2498,8197,48.2574,-120.6928,8,3,0,USFS,Wenatchee NF,NPS,Lake Chelan NRA,,,Open,Open,,,1. Dec. 2010,31. Dec. 2099,TRUE,1899,12,30,,
