V2,KK7LHY/P,W7W/KG-092,13/08/2023,17:35,144MHz,FM,WA7GNP,,"146.52, 59 to me, 59 from me, Jerry in Kent"
V2,KK7LHY/P,W7W/KG-092,13/08/2023,17:37,144MHz,FM,WE7U,,"146.52, 59 to me, 55 from me, Curt in Snohomish"
V2,KK7LHY/P,W7W/KG-092,13/08/2023,17:53,144MHz,FM,K7JRO,,"146.52, 59 to me, 57 from me, John in Sammamish"
V2,KK7LHY/P,W7W/KG-092,13/08/2023,17:55,144MHz,FM,WU7H,,"146.52, 59 to me, 53 from me, Josh in Lake Forest Park"
V2,KK7LHY/P,W7W/KG-092,13/08/2023,17:57,144MHz,FM,KJ7ZIR,,"146.52, 59 to me, 59 from me, Toby in West Seattle"
V2,KK7LHY/P,W7W/KG-092,13/08/2023,17:59,144MHz,FM,KC6FLG/M,,"146.52, 59 to me, 47 from me, Kevin on SR3"
V2,KK7LHY/P,W7W/KG-092,13/08/2023,18:07,144MHz,FM,N7LHK,,"146.52, 59 to me, 59 from me, Rick in Maple Valley"
V2,KK7LHY/P,W7W/KG-092,13/08/2023,18:17,144MHz,FM,N7FX,,"146.56, 47 to me, 57 from me, Kevin on Bainbridge Island"
V2,KK7LHY/P,W7W/KG-092,13/08/2023,18:18,144MHz,FM,AC7MA,,"146.56, 55 to me, 59 from me, Richard in Redmond"
V2,KK7LHY/P,W7W/KG-092,13/08/2023,18:20,144MHz,FM,KA7CEE,,"146.56, 59 to me, 59 from me, Wayne in Kent"
V2,KK7LHY/P,W7W/KG-092,13/08/2023,18:22,144MHz,FM,KG7EJT/P,,"146.56, 47 to me, 58 from me, Tim in Kenmore"
V2,KK7LHY/P,W7W/KG-092,13/08/2023,18:25,144MHz,FM,NW7M/M,,"146.56, 59 to me, 59 from me, Alex near Seatac"
V2,KK7LHY/P,W7W/KG-121,20/08/2023,22:35,144MHz,FM,K7JRO,,"146.58, 33 to me, 53 from me, John in Sammamish"
V2,KK7LHY/P,W7W/KG-121,20/08/2023,22:38,144MHz,FM,K3OG,,"146.58, 47 to me, 12 from me, Peter in Sammamish"
V2,KK7LHY/P,W7W/KG-121,20/08/2023,22:41,144MHz,FM,K6IR,,"146.58, 59 to me, 59 from me, John in Kent"
V2,KK7LHY/P,W7W/KG-121,20/08/2023,22:43,144MHz,FM,WW7D/P,,"146.58, 33 to me, 33 from me, Darryl on Tinkham Peak West"
V2,KK7LHY/P,W7W/KG-121,20/08/2023,22:47,144MHz,FM,W7DLZ/P,,"146.58, 12 to me, 33 from me, Derek on Tinkham Peak West"
V2,KK7LHY/P,W7W/KG-073,27/08/2023,18:00,144MHz,FM,W7NY/AM,,"146.52, 59 to me, 59 from me, Bill in a Piper Cherokee"
V2,KK7LHY/P,W7W/KG-073,27/08/2023,18:30,144MHz,FM,N7MKO/P,,"146.52, 33 to me, 55 from me, Stephen in Frank Raab Park running 1 watt"
V2,KK7LHY/P,W7W/KG-073,27/08/2023,18:39,144MHz,FM,K7JRO/P,,"146.58, 44 to me, 55 from me, John on North Grand Ridge"
V2,KK7LHY/P,W7W/KG-073,27/08/2023,18:41,144MHz,FM,KK7HMD,,"146.58, 59 to me, 59 from me, Geoff in Bellevue"
V2,KK7LHY/P,W7W/KG-073,27/08/2023,18:43,144MHz,FM,KF7NYC/MM,,"146.58, 47 to me, 44 from me, James"
V2,KK7LHY/P,W7W/KG-073,27/08/2023,18:46,144MHz,FM,WA7BEN,,"146.58, 47 to me, 59 from me, Ben in NE Seattle"
V2,KK7LHY/P,W7W/KG-073,27/08/2023,18:48,144MHz,FM,KB7RYY,,"146.58, 59 to me, 44 from me, Dan in S Bellevue"
V2,KK7LHY/P,W7W/KG-084,27/08/2023,21:09,144MHz,FM,W7NN,,"146.58, 59 to me, 59 from me, Ron in Tumwater"
V2,KK7LHY/P,W7W/KG-084,27/08/2023,21:41,144MHz,FM,KC6FLG/M,,"146.52, 59 to me, 47 from me, Kevin on US101 near WA3 and Shelton"
V2,KK7LHY/P,W7W/KG-084,27/08/2023,21:43,144MHz,FM,KK7KDJ,,"146.52, 59 to me, 59 from me, John in Cle Elum"
V2,KK7LHY/P,W7W/KG-084,27/08/2023,21:56,144MHz,FM,N7XS,,"146.52, 59 to me, 57 from me, Dean on Camano Island"
V2,KK7LHY/P,W7W/KG-084,27/08/2023,22:00,144MHz,FM,KB7AF,,"146.52, 47 to me, 45 from me, Steven in Renton"
